code,variable,family
island,Island,Environment
mean_temperature,Mean Temperature,Environment
annual_precipitation,Annual Precipitation,Environment
altitude,Altitude,Environment
dist_to_ocean,Distance to ocean,Environment
freshwater,Freshwater,Environment
ndvi,NDVI,Environment
gdp,Local GDP,Socioeconomic
conflicts,Conflict Score,Socioeconomic
voice,Voice,Socioeconomic
ngo,NGO,Socioeconomic
natural_resources,Natural Resources,Socioeconomic
accessibility,Accessibility,Socioeconomic
human_footprint,Human footprint,Socioeconomic
